,cluster,total_size,n_characterized,most_unique_product_count_mean,network_size
0,19,198583,0,0.0,2757
1,7,61590,1,2.0,1308
2,110,57904,0,0.0,1239
3,4,44342,11,11.636363636363637,1505
4,18,22853,0,0.0,497
5,0,20658,238,13.218487394957982,1223
6,1,20456,286,15.604895104895105,1245
7,897,20353,2,1.0,563
8,191,19967,0,0.0,971
9,16,18217,7,2.7142857142857144,395
10,38,18018,7,7.571428571428571,621
11,13,12144,5,13.0,590
12,2,11324,140,11.664285714285715,596
13,43,11128,35,6.057142857142857,810
14,44,9478,74,4.581081081081081,742
15,9,8063,115,19.243478260869566,367
16,94,7652,4,3.0,237
17,218,7110,5,5.0,334
18,12,5051,20,14.0,192
19,748,3449,0,0.0,95
20,174,2991,0,0.0,213
21,23,2480,54,8.25925925925926,349
22,751,2396,0,0.0,20
23,222,2141,0,0.0,334
24,750,1564,0,0.0,21
25,777,1360,0,0.0,27
26,24,1093,0,0.0,162
27,39,962,0,0.0,141
28,36,924,6,7.0,88
29,45,863,6,1.5,120
30,352,811,0,0.0,100
31,268,768,0,0.0,72
32,20,748,6,5.5,152
33,255,678,2,1.0,80
34,265,638,0,0.0,11
35,321,509,0,0.0,123
36,262,476,1,1.0,110
37,166,452,2,1.0,73
38,56,420,4,4.0,49
39,553,374,0,0.0,12
40,744,367,0,0.0,53
41,779,337,0,0.0,67
42,83,333,0,0.0,16
43,276,332,0,0.0,20
44,35,332,5,2.4,72
45,330,313,0,0.0,25
46,1169,303,0,0.0,3
47,338,291,0,0.0,20
48,259,267,18,18.0,50
49,224,265,1,24.0,54
50,3,262,2,20.0,49
51,1173,249,0,0.0,5
52,1152,247,0,0.0,5
53,747,240,0,0.0,55
54,551,237,0,0.0,16
55,217,221,0,0.0,23
56,1134,219,0,0.0,7
57,756,216,0,0.0,7
58,366,210,0,0.0,42
59,275,204,0,0.0,16
60,789,196,0,0.0,28
61,620,196,0,0.0,16
62,483,192,0,0.0,55
63,599,191,0,0.0,16
64,1187,191,0,0.0,3
65,349,189,0,0.0,40
66,835,184,0,0.0,9
67,480,164,0,0.0,14
68,863,162,0,0.0,6
69,122,161,2,8.0,41
70,1198,156,0,0.0,3
71,343,153,8,5.125,19
72,923,150,0,0.0,15
73,816,142,0,0.0,35
74,494,139,0,0.0,7
75,6,135,2,5.0,24
76,486,133,0,0.0,17
77,53,132,0,0.0,28
78,884,130,0,0.0,17
79,754,130,0,0.0,21
80,274,123,0,0.0,15
81,315,120,1,1.0,5
82,231,114,0,0.0,10
83,745,114,0,0.0,7
84,339,112,0,0.0,4
85,596,106,0,0.0,13
86,742,106,0,0.0,5
87,414,103,0,0.0,5
88,836,101,0,0.0,8
89,346,100,0,0.0,22
90,790,94,0,0.0,11
91,468,94,0,0.0,22
92,240,92,0,0.0,2
93,841,92,0,0.0,15
94,853,90,0,0.0,9
95,455,87,0,0.0,11
96,557,86,0,0.0,3
97,92,84,0,0.0,21
98,130,84,8,5.5,32
99,233,83,0,0.0,11
100,1474,81,1,1.0,2
101,617,79,0,0.0,18
102,210,79,0,0.0,5
103,846,77,0,0.0,4
104,63,76,0,0.0,26
105,743,73,0,0.0,20
106,818,73,0,0.0,9
107,1355,71,0,0.0,2
108,300,69,2,2.0,7
109,298,68,0,0.0,25
110,788,67,0,0.0,21
111,1437,66,0,0.0,1
112,524,65,0,0.0,7
113,81,63,2,2.0,10
114,420,63,0,0.0,8
115,253,62,0,0.0,14
116,813,62,0,0.0,6
117,783,61,0,0.0,5
118,799,60,0,0.0,5
119,254,60,0,0.0,8
120,371,59,0,0.0,4
121,866,57,0,0.0,6
122,646,57,0,0.0,25
123,606,57,0,0.0,21
124,246,56,0,0.0,7
125,167,55,0,0.0,12
126,312,55,0,0.0,17
127,765,54,0,0.0,4
128,736,54,0,0.0,19
129,979,52,0,0.0,9
130,169,51,17,2.8823529411764706,33
131,489,50,0,0.0,23
132,1403,50,0,0.0,4
133,618,49,0,0.0,4
134,612,49,0,0.0,5
135,334,48,0,0.0,3
136,333,47,0,0.0,3
137,1321,46,0,0.0,2
138,270,45,0,0.0,8
139,1303,43,0,0.0,5
140,859,43,0,0.0,9
141,871,43,0,0.0,12
142,258,41,0,0.0,11
143,364,41,0,0.0,6
144,964,41,0,0.0,1
145,872,41,0,0.0,9
146,849,40,0,0.0,5
147,513,39,0,0.0,2
148,814,39,0,0.0,9
149,212,39,2,6.0,5
150,829,38,0,0.0,12
151,495,38,0,0.0,5
152,82,38,1,2.0,6
153,359,37,0,0.0,3
154,796,37,0,0.0,12
155,1454,36,0,0.0,4
156,382,35,0,0.0,5
157,368,35,0,0.0,7
158,1280,34,0,0.0,2
159,225,34,0,0.0,3
160,302,34,1,1.0,7
161,91,34,0,0.0,6
162,1150,33,0,0.0,3
163,239,32,0,0.0,4
164,111,32,0,0.0,4
165,484,32,0,0.0,1
166,22,32,0,0.0,2
167,1097,32,0,0.0,6
168,322,32,0,0.0,3
169,230,31,0,0.0,8
170,296,31,0,0.0,3
171,282,30,0,0.0,5
172,815,30,0,0.0,5
173,773,30,0,0.0,12
174,485,29,0,0.0,3
175,415,29,0,0.0,1
176,534,29,0,0.0,5
177,573,28,0,0.0,5
178,405,28,0,0.0,9
179,775,28,0,0.0,9
180,749,27,0,0.0,6
181,207,27,0,0.0,15
182,1281,26,0,0.0,5
183,881,26,0,0.0,4
184,704,26,0,0.0,7
185,57,24,0,0.0,5
186,490,23,0,0.0,6
187,642,23,0,0.0,8
188,536,22,0,0.0,5
189,356,22,0,0.0,5
190,669,22,0,0.0,5
191,416,22,0,0.0,1
192,1030,22,0,0.0,3
193,427,22,0,0.0,6
194,273,22,0,0.0,6
195,811,22,0,0.0,10
196,179,21,2,3.0,8
197,825,21,0,0.0,6
198,289,21,0,0.0,2
199,466,21,0,0.0,3
200,242,20,0,0.0,3
201,180,20,0,0.0,7
202,277,20,0,0.0,1
203,1009,20,0,0.0,2
204,26,19,0,0.0,5
205,1273,19,0,0.0,5
206,1390,19,0,0.0,2
207,70,19,0,0.0,5
208,891,19,0,0.0,4
209,1007,19,0,0.0,3
210,1124,19,0,0.0,2
211,1024,19,0,0.0,8
212,317,19,1,1.0,3
213,1451,18,0,0.0,1
214,105,18,0,0.0,4
215,645,18,0,0.0,7
216,303,18,0,0.0,3
217,89,17,0,0.0,2
218,776,17,0,0.0,4
219,1055,17,0,0.0,1
220,1099,17,0,0.0,2
221,10,17,0,0.0,6
222,1453,17,0,0.0,1
223,67,17,0,0.0,3
224,293,17,0,0.0,1
225,539,17,0,0.0,6
226,874,16,0,0.0,2
227,182,16,0,0.0,3
228,280,16,0,0.0,6
229,107,16,0,0.0,7
230,209,16,0,0.0,3
231,1373,15,0,0.0,2
232,25,15,0,0.0,5
233,49,15,0,0.0,5
234,1360,15,0,0.0,2
235,808,15,0,0.0,1
236,196,15,0,0.0,6
237,1285,15,0,0.0,1
238,629,15,1,1.0,2
239,1141,15,0,0.0,6
240,1156,15,0,0.0,1
241,1176,15,0,0.0,5
242,1364,14,0,0.0,3
243,69,14,0,0.0,3
244,1361,14,0,0.0,3
245,234,14,0,0.0,3
246,380,14,0,0.0,5
247,27,14,0,0.0,8
248,1283,14,0,0.0,2
249,855,14,0,0.0,7
250,851,14,0,0.0,3
251,1022,13,0,0.0,1
252,1252,13,0,0.0,1
253,208,13,0,0.0,3
254,388,13,0,0.0,4
255,1391,13,0,0.0,2
256,572,13,0,0.0,4
257,1267,13,0,0.0,2
258,601,13,0,0.0,3
259,1334,13,0,0.0,5
260,476,13,0,0.0,4
261,134,13,2,5.0,9
262,1158,12,0,0.0,5
263,401,12,0,0.0,2
264,1222,12,0,0.0,1
265,567,12,0,0.0,3
266,402,12,0,0.0,1
267,394,12,0,0.0,5
268,593,12,0,0.0,2
269,404,12,0,0.0,3
270,328,12,0,0.0,2
271,248,12,0,0.0,6
272,657,12,0,0.0,6
273,47,12,0,0.0,5
274,66,12,0,0.0,4
275,183,12,0,0.0,6
276,449,12,0,0.0,4
277,605,12,0,0.0,2
278,186,12,0,0.0,1
279,927,12,0,0.0,5
280,285,12,0,0.0,4
281,900,12,0,0.0,1
282,879,12,0,0.0,2
283,204,12,0,0.0,2
284,477,12,0,0.0,2
285,807,12,0,0.0,2
286,552,11,0,0.0,4
287,543,11,0,0.0,3
288,1393,11,0,0.0,2
289,1299,11,0,0.0,1
290,86,11,0,0.0,4
291,764,11,0,0.0,6
292,407,11,0,0.0,1
293,308,11,0,0.0,3
294,817,11,0,0.0,1
295,907,11,0,0.0,3
296,782,11,0,0.0,2
297,149,11,0,0.0,4
298,307,11,0,0.0,3
299,141,11,1,1.0,4
300,810,11,0,0.0,4
301,667,11,0,0.0,4
302,1458,10,0,0.0,4
303,1459,10,0,0.0,1
304,1460,10,0,0.0,1
305,820,10,0,0.0,6
306,800,10,0,0.0,3
307,21,10,0,0.0,1
308,442,10,0,0.0,3
309,650,10,0,0.0,5
310,344,10,1,1.0,3
311,93,10,1,1.0,3
312,119,10,0,0.0,1
313,1207,10,0,0.0,3
314,589,10,0,0.0,4
315,1211,10,0,0.0,2
316,424,10,0,0.0,1
317,313,10,0,0.0,1
318,678,10,0,0.0,1
319,471,9,0,0.0,1
320,549,9,0,0.0,1
321,369,9,0,0.0,1
322,386,9,0,0.0,5
323,535,9,0,0.0,1
324,604,9,0,0.0,5
325,527,9,0,0.0,2
326,433,9,0,0.0,2
327,595,9,0,0.0,5
328,839,9,0,0.0,4
329,1140,9,0,0.0,2
330,794,9,0,0.0,3
331,1195,9,0,0.0,3
332,1392,9,0,0.0,1
333,990,9,0,0.0,2
334,1253,9,0,0.0,3
335,951,9,0,0.0,2
336,929,9,0,0.0,2
337,197,9,0,0.0,3
338,1277,9,0,0.0,1
339,457,9,0,0.0,2
340,260,9,0,0.0,1
341,1308,9,0,0.0,3
342,228,9,1,1.0,4
343,1170,9,0,0.0,3
344,320,9,0,0.0,1
345,753,9,0,0.0,5
346,762,9,0,0.0,2
347,5,9,0,0.0,5
348,113,8,0,0.0,1
349,889,8,0,0.0,1
350,505,8,0,0.0,1
351,413,8,0,0.0,3
352,1042,8,0,0.0,1
353,77,8,0,0.0,3
354,128,8,0,0.0,5
355,503,8,0,0.0,2
356,710,8,0,0.0,1
357,396,8,0,0.0,2
358,1136,8,0,0.0,4
359,399,8,0,0.0,3
360,88,8,7,1.7142857142857142,8
361,288,8,0,0.0,1
362,1259,8,0,0.0,1
363,668,8,0,0.0,3
364,860,8,0,0.0,1
365,1325,8,0,0.0,1
366,473,8,0,0.0,2
367,103,8,0,0.0,2
368,422,8,0,0.0,5
369,1288,8,0,0.0,2
370,798,8,0,0.0,2
371,792,8,0,0.0,2
372,95,8,0,0.0,3
373,1171,7,0,0.0,2
374,517,7,0,0.0,1
375,1185,7,0,0.0,1
376,418,7,0,0.0,3
377,1290,7,0,0.0,3
378,1203,7,0,0.0,1
379,425,7,0,0.0,5
380,506,7,0,0.0,2
381,487,7,0,0.0,1
382,1219,7,0,0.0,3
383,1165,7,0,0.0,1
384,1289,7,0,0.0,2
385,1057,7,0,0.0,3
386,711,7,0,0.0,2
387,1438,7,0,0.0,1
388,342,7,0,0.0,3
389,673,7,0,0.0,1
390,314,7,0,0.0,2
391,648,7,0,0.0,2
392,279,7,0,0.0,3
393,264,7,0,0.0,2
394,257,7,0,0.0,3
395,822,7,0,0.0,2
396,823,7,0,0.0,2
397,37,7,0,0.0,3
398,856,7,0,0.0,2
399,1440,7,0,0.0,2
400,78,7,0,0.0,3
401,610,7,0,0.0,3
402,956,7,0,0.0,2
403,1131,7,0,0.0,1
404,1394,7,0,0.0,1
405,967,7,0,0.0,2
406,1032,7,0,0.0,2
407,1111,7,0,0.0,1
408,1066,7,0,0.0,2
409,1073,7,0,0.0,2
410,1366,6,0,0.0,1
411,1343,6,0,0.0,2
412,465,6,0,0.0,2
413,1365,6,0,0.0,2
414,1376,6,0,0.0,2
415,1362,6,0,0.0,1
416,1471,6,0,0.0,1
417,1445,6,0,0.0,1
418,1359,6,0,0.0,3
419,722,6,0,0.0,2
420,1335,6,0,0.0,1
421,869,6,0,0.0,4
422,729,6,0,0.0,1
423,691,6,0,0.0,4
424,797,6,0,0.0,2
425,635,6,0,0.0,1
426,633,6,2,15.0,3
427,632,6,0,0.0,1
428,622,6,0,0.0,2
429,877,6,0,0.0,1
430,1261,6,0,0.0,3
431,966,6,0,0.0,1
432,1110,6,0,0.0,2
433,564,6,0,0.0,1
434,1197,6,0,0.0,1
435,1212,6,0,0.0,2
436,1218,6,0,0.0,2
437,540,6,0,0.0,1
438,464,6,0,0.0,2
439,755,6,0,0.0,1
440,42,6,0,0.0,3
441,384,6,0,0.0,1
442,40,6,0,0.0,3
443,429,6,0,0.0,2
444,247,6,0,0.0,2
445,430,6,0,0.0,2
446,101,6,0,0.0,3
447,41,6,0,0.0,3
448,263,6,0,0.0,4
449,309,6,0,0.0,2
450,140,6,0,0.0,2
451,329,6,0,0.0,2
452,331,6,0,0.0,1
453,348,6,0,0.0,3
454,74,6,0,0.0,2
455,84,6,0,0.0,2
456,155,6,0,0.0,1
457,377,6,0,0.0,1
458,375,6,0,0.0,1
459,403,5,0,0.0,3
460,138,5,1,24.0,3
461,1306,5,0,0.0,1
462,406,5,0,0.0,1
463,408,5,0,0.0,1
464,286,5,0,0.0,3
465,1086,5,0,0.0,1
466,150,5,0,0.0,1
467,1377,5,0,0.0,1
468,812,5,0,0.0,3
469,603,5,0,0.0,2
470,1415,5,0,0.0,1
471,1378,5,0,0.0,1
472,1452,5,0,0.0,1
473,419,5,0,0.0,2
474,656,5,0,0.0,3
475,819,5,0,0.0,3
476,423,5,0,0.0,3
477,58,5,0,0.0,2
478,831,5,0,0.0,2
479,1455,5,0,0.0,2
480,1313,5,0,0.0,1
481,1076,5,0,0.0,2
482,760,5,0,0.0,1
483,319,5,0,0.0,1
484,1367,5,0,0.0,1
485,1358,5,0,0.0,1
486,1418,5,0,0.0,1
487,693,5,0,0.0,1
488,1046,5,0,0.0,1
489,1154,5,0,0.0,2
490,1079,5,0,0.0,2
491,1422,5,0,0.0,1
492,1342,5,0,0.0,1
493,1338,5,0,0.0,1
494,724,5,0,0.0,2
495,1161,5,0,0.0,1
496,340,5,0,0.0,2
497,739,5,0,0.0,2
498,741,5,0,0.0,1
499,428,5,0,0.0,2
500,1409,5,0,0.0,1
501,397,5,0,0.0,1
502,571,5,0,0.0,1
503,613,5,0,0.0,2
504,666,5,0,0.0,1
505,838,5,0,0.0,5
506,1208,5,0,0.0,1
507,229,5,0,0.0,1
508,11,5,0,0.0,2
509,450,5,0,0.0,1
510,432,5,0,0.0,1
511,1466,5,0,0.0,1
512,117,5,0,0.0,2
513,200,5,0,0.0,2
514,129,5,1,1.0,3
515,1262,5,0,0.0,1
516,112,5,0,0.0,1
517,1228,5,0,0.0,1
518,435,5,0,0.0,1
519,447,5,0,0.0,1
520,437,5,0,0.0,1
521,922,5,0,0.0,2
522,916,5,0,0.0,3
523,910,5,0,0.0,1
524,467,5,0,0.0,5
525,1190,5,0,0.0,1
526,31,5,0,0.0,1
527,519,5,0,0.0,1
528,509,5,0,0.0,2
529,102,5,0,0.0,2
530,223,5,0,0.0,3
531,100,5,0,0.0,2
532,991,4,0,0.0,2
533,647,4,0,0.0,1
534,71,4,0,0.0,1
535,687,4,0,0.0,1
536,73,4,0,0.0,1
537,365,4,0,0.0,1
538,1138,4,0,0.0,1
539,1380,4,0,0.0,2
540,1237,4,0,0.0,1
541,353,4,0,0.0,1
542,60,4,0,0.0,1
543,75,4,0,0.0,2
544,921,4,0,0.0,2
545,918,4,0,0.0,1
546,59,4,0,0.0,2
547,714,4,0,0.0,2
548,975,4,0,0.0,2
549,934,4,0,0.0,1
550,1385,4,0,0.0,1
551,939,4,0,0.0,1
552,717,4,0,0.0,1
553,184,4,0,0.0,1
554,1201,4,0,0.0,2
555,978,4,0,0.0,1
556,161,4,0,0.0,2
557,1143,4,0,0.0,2
558,1217,4,0,0.0,2
559,1199,4,0,0.0,1
560,64,4,0,0.0,1
561,357,4,0,0.0,2
562,1146,4,0,0.0,2
563,1051,4,0,0.0,1
564,944,4,0,0.0,1
565,652,4,0,0.0,1
566,1059,4,0,0.0,1
567,62,4,0,0.0,2
568,1250,4,0,0.0,1
569,1339,4,0,0.0,1
570,1011,4,0,0.0,1
571,1000,4,0,0.0,1
572,291,4,0,0.0,4
573,1276,4,0,0.0,1
574,1302,4,0,0.0,4
575,283,4,0,0.0,1
576,206,4,0,0.0,1
577,857,4,0,0.0,2
578,804,4,0,0.0,1
579,1174,4,0,0.0,2
580,252,4,0,0.0,1
581,1268,4,0,0.0,1
582,1282,4,0,0.0,2
583,845,4,0,0.0,1
584,842,4,0,0.0,2
585,821,4,0,0.0,2
586,238,4,0,0.0,1
587,1008,4,0,0.0,1
588,237,4,0,0.0,1
589,226,4,0,0.0,1
590,832,4,0,0.0,1
591,786,4,0,0.0,1
592,1020,4,0,0.0,2
593,189,4,0,0.0,2
594,1256,4,0,0.0,1
595,904,4,0,0.0,4
596,726,4,0,0.0,1
597,1034,4,0,0.0,1
598,1249,4,0,0.0,1
599,1286,4,0,0.0,1
600,165,4,0,0.0,1
601,738,4,0,0.0,2
602,115,4,0,0.0,1
603,1254,4,0,0.0,2
604,132,4,0,0.0,2
605,304,4,0,0.0,2
606,114,4,0,0.0,2
607,1260,4,0,0.0,1
608,324,4,0,0.0,1
609,886,4,0,0.0,1
610,316,4,0,0.0,1
611,1318,4,0,0.0,2
612,199,4,0,0.0,1
613,772,4,0,0.0,1
614,306,4,0,0.0,2
615,637,4,0,0.0,2
616,1108,4,0,0.0,2
617,1465,4,0,0.0,1
618,1402,4,0,0.0,1
619,1457,4,0,0.0,1
620,1075,4,0,0.0,1
621,412,4,0,0.0,2
622,1114,4,0,0.0,1
623,1419,4,0,0.0,1
624,569,4,0,0.0,2
625,481,4,0,0.0,2
626,482,4,0,0.0,1
627,608,4,0,0.0,1
628,538,4,0,0.0,2
629,1464,4,0,0.0,1
630,395,4,0,0.0,1
631,421,4,0,0.0,1
632,29,4,0,0.0,2
633,597,4,0,0.0,2
634,267,4,0,0.0,1
635,1417,4,0,0.0,1
636,159,4,0,0.0,1
637,1416,4,0,0.0,2
638,514,4,0,0.0,1
639,472,4,0,0.0,2
640,1467,4,0,0.0,1
641,1461,4,0,0.0,1
642,463,4,0,0.0,1
643,1071,4,0,0.0,1
644,585,4,0,0.0,1
645,512,4,0,0.0,1
646,374,4,0,0.0,2
647,625,4,0,0.0,2
648,1441,4,0,0.0,1
649,51,4,0,0.0,1
650,500,4,0,0.0,1
651,98,3,0,0.0,1
652,854,3,0,0.0,1
653,1279,3,0,0.0,1
654,834,3,0,0.0,1
655,1092,3,0,0.0,1
656,211,3,0,0.0,1
657,99,3,0,0.0,3
658,1005,3,0,0.0,1
659,33,3,0,0.0,1
660,852,3,0,0.0,1
661,1284,3,0,0.0,1
662,1456,3,0,0.0,1
663,522,3,0,0.0,1
664,521,3,0,0.0,3
665,1291,3,0,0.0,1
666,844,3,0,0.0,1
667,843,3,0,0.0,1
668,802,3,0,0.0,1
669,1292,3,0,0.0,1
670,281,3,0,0.0,1
671,1018,3,0,0.0,1
672,295,3,0,0.0,1
673,785,3,0,0.0,1
674,787,3,0,0.0,1
675,1172,3,0,0.0,1
676,791,3,0,0.0,1
677,290,3,0,0.0,1
678,1015,3,0,0.0,1
679,287,3,0,0.0,1
680,136,3,0,0.0,1
681,1442,3,0,0.0,1
682,1443,3,0,0.0,1
683,1301,3,0,0.0,1
684,1177,3,0,0.0,1
685,55,3,0,0.0,1
686,803,3,0,0.0,1
687,1447,3,0,0.0,1
688,806,3,0,0.0,1
689,271,3,0,0.0,1
690,250,3,0,0.0,1
691,249,3,0,0.0,1
692,244,3,0,0.0,1
693,532,3,0,0.0,1
694,243,3,0,0.0,1
695,171,3,0,0.0,1
696,531,3,0,0.0,3
697,1296,3,0,0.0,1
698,876,3,0,0.0,1
699,1275,3,0,0.0,1
700,14,3,0,0.0,1
701,1240,3,0,0.0,1
702,1239,3,0,0.0,1
703,1238,3,0,0.0,1
704,920,3,0,0.0,1
705,478,3,0,0.0,1
706,15,3,0,0.0,1
707,926,3,0,0.0,1
708,187,3,0,0.0,1
709,185,3,0,0.0,1
710,935,3,0,0.0,1
711,1231,3,0,0.0,1
712,985,3,0,0.0,1
713,448,3,0,0.0,1
714,1242,3,0,0.0,1
715,984,3,0,0.0,1
716,942,3,0,0.0,1
717,451,3,0,0.0,1
718,46,3,0,0.0,1
719,954,3,0,0.0,1
720,1215,3,0,0.0,1
721,959,3,0,0.0,1
722,1213,3,0,0.0,1
723,123,3,0,0.0,1
724,177,3,0,0.0,1
725,176,3,0,0.0,1
726,1209,3,0,0.0,1
727,1241,3,0,0.0,1
728,911,3,0,0.0,1
729,205,3,0,0.0,1
730,1472,3,0,0.0,1
731,108,3,0,0.0,1
732,1272,3,0,0.0,1
733,1271,3,0,0.0,1
